Species
Fissistigma bygravei
Fissistigma carrii
Fissistigma cavaleriei
Fissistigma chloroneurum
Fissistigma chrysosericeum
Fissistigma cinerascens
Fissistigma crassicaule
Fissistigma ellipticum
Fissistigma elmeri
Fissistigma fulgens
Fissistigma glaucescens
Fissistigma hypoglaucum
Fissistigma kinabaluense
Fissistigma kingii
Fissistigma kwangsiense
Fissistigma lanuginosum
Fissistigma latifolium
Fissistigma litseaefolium
Fissistigma longipes
Fissistigma longipetalum
Fissistigma manubriatum
Fissistigma montanum
Fissistigma multivenium
Fissistigma oblongum
Fissistigma oldhamii
Fissistigma pallens
Fissistigma paniculatum
Fissistigma poilanei
Fissistigma polyanthoides
Fissistigma polyanthum
Fissistigma retusum
Fissistigma rubiginosum
Fissistigma rufinerve
Fissistigma rugosum
Fissistigma santapaui
Fissistigma scandens
Fissistigma shangtzeense
Fissistigma sumatrana
Fissistigma taynguyenense
Fissistigma thorelii
Fissistigma tientangense
Fissistigma tonkinense
Fissistigma uonicum
Fissistigma verrucosum
Fissistigma villosissimum
Fissistigma wallichii
Fissistigma xylopetalum
Fissistigma zippelii
Friesodielsia affinis
Friesodielsia alpina
Friesodielsia auriculata
Friesodielsia bakeri
Friesodielsia biglandulosa
Friesodielsia borneensis
Friesodielsia brevistipitata
Friesodielsia caesia
Friesodielsia calycina
Friesodielsia cuneiformis
Friesodielsia desmoides
Friesodielsia discolor
Friesodielsia excisa
Friesodielsia filipes
Friesodielsia formosa
Friesodielsia fornicata
Friesodielsia glabra
Friesodielsia glauca
Friesodielsia grandifolia
Friesodielsia hainanensis
Friesodielsia hirta
Friesodielsia khaoluangensis
Friesodielsia khoshooi
Friesodielsia kingii
Friesodielsia korthalsiana
Friesodielsia lagunensis
Friesodielsia lalisae
Friesodielsia lanceolata
Friesodielsia latifolia
Friesodielsia longiflora
Friesodielsia longipetala
Friesodielsia macrosepala
Friesodielsia mindorensis
Friesodielsia obtusifolia
Friesodielsia oligophlebia
Friesodielsia ovalifolia
Friesodielsia paucinervis
Friesodielsia phanganensis
Friesodielsia philippinensis
Friesodielsia platyphylla
Friesodielsia pubescens
Friesodielsia sahyadrica
Friesodielsia songkhlaensis
Friesodielsia stenopetala
Friesodielsia subaequalis
Friesodielsia unonifolia
Goniothalamus amplifolius
Goniothalamus andersonii
Goniothalamus banii
Goniothalamus borneensis
Goniothalamus bygravei
Goniothalamus calvicarpus
Goniothalamus carolinensis
Goniothalamus clemensii
Goniothalamus dolichocarpus
Goniothalamus dolichopetalus
Goniothalamus donnaiensis
Goniothalamus dumontetii
Goniothalamus elegans
Goniothalamus expansus
Goniothalamus flagellistylus
Goniothalamus gabriacianus
Goniothalamus gigantifolius
Goniothalamus hmoope
Goniothalamus keralensis
Goniothalamus laoticus
